Brand,Country,Active Start,Active End
Aston Martin,India,2011,2025
Audi,India,2007,2025
Bentley,India,2010,2025
BMW,India,2007,2025
Bugatti,India,,
BYD,India,2022,2025
Chevrolet,India,2003,2017
Citroen,India,2021,2025
Daewoo,India,1995,2003
Datsun,India,2014,2022
Ferrari,India,2011,2025
Fiat,India,1905,2019
Fisker,India,2011,2012
Force Motors,India,1958,2025
Ford,India,1995,2022
Hindustan Motors,India,1948,2014
Honda,India,1998,2025
Hummer,India,,
Hyundai,India,1998,2025
ICML,India,2006,2017
Isuzu,India,2012,2025
Jaguar,India,2009,2025
Jeep,India,2016,2025
Kia,India,2019,2025
Lamborghini,India,2012,2025
Land Rover,India,2009,2025
Leapmotor,India,,
Lexus,India,2017,2025
Lotus,India,2023,2025
Mahindra,India,1947,2025
Mahindra Renault,India,2007,2011
Maruti Suzuki,India,1983,2025
Maserati,India,2011,2025
Maybach,India,2004,2012
McLaren,India,2022,2025
Mercedes-Benz,India,1994,2025
MG,India,2019,2025
Mini,India,2012,2025
Mitsubishi,India,1998,2020
Nissan,India,2005,2025
Ola,India,,
Opel,India,1996,2006
Porsche,India,2004,2025
Pravaig,India,,
Premier,India,1944,2001
Renault,India,2011,2025
Rolls-Royce,India,2005,2025
San,India,1998,2013
Skoda,India,2011,2025
Ssangyong,India,2012,2015
Tata,India,1991,2025
Tesla,India,2025,2025
Toyota,India,1997,2025
Vinfast,India,2025,2025
Volkswagen,India,2007,2025
Volvo,India,2007,2025
